run_id,prompt_id,output_sha256,http_status,ttft_s,latency_s,ok,validation
p0-r0-s1427498142,p0,8a798890fe93817163b10b5f7bd2ca4d25d84c52739a645a889c173eee7d9d3d,200,0.741126,0.808749,1,ok
p0-r1-s1427498142,p0,8a798890fe93817163b10b5f7bd2ca4d25d84c52739a645a889c173eee7d9d3d,200,0.412123,0.497079,1,ok
p0-r2-s1427498142,p0,8a798890fe93817163b10b5f7bd2ca4d25d84c52739a645a889c173eee7d9d3d,200,0.439456,0.500046,1,ok
p0-r3-s1427498142,p0,8a798890fe93817163b10b5f7bd2ca4d25d84c52739a645a889c173eee7d9d3d,200,0.290601,0.351530,1,ok
p0-r4-s1427498142,p0,8a798890fe93817163b10b5f7bd2ca4d25d84c52739a645a889c173eee7d9d3d,200,0.308868,0.367731,1,ok
p1-r0-s1086044988,p1,9390298f3fb0c5b160498935d79cb139aef28e1c47358b4bbba61862b9c26e59,200,0.369988,0.459312,1,ok
p1-r1-s1086044988,p1,9390298f3fb0c5b160498935d79cb139aef28e1c47358b4bbba61862b9c26e59,200,0.336426,0.389098,1,ok
p1-r2-s1086044988,p1,9390298f3fb0c5b160498935d79cb139aef28e1c47358b4bbba61862b9c26e59,200,0.286639,0.338318,1,ok
p1-r3-s1086044988,p1,9390298f3fb0c5b160498935d79cb139aef28e1c47358b4bbba61862b9c26e59,200,0.282342,0.340516,1,ok
p1-r4-s1086044988,p1,9390298f3fb0c5b160498935d79cb139aef28e1c47358b4bbba61862b9c26e59,200,0.268875,0.320553,1,ok
p2-r0-s1307087154,p2,8a798890fe93817163b10b5f7bd2ca4d25d84c52739a645a889c173eee7d9d3d,200,0.346015,0.399292,1,ok
p2-r1-s1307087154,p2,8a798890fe93817163b10b5f7bd2ca4d25d84c52739a645a889c173eee7d9d3d,200,0.313980,0.371999,1,ok
p2-r2-s1307087154,p2,8a798890fe93817163b10b5f7bd2ca4d25d84c52739a645a889c173eee7d9d3d,200,0.291260,0.344876,1,ok
p2-r3-s1307087154,p2,8a798890fe93817163b10b5f7bd2ca4d25d84c52739a645a889c173eee7d9d3d,200,0.333742,0.383948,1,ok
p2-r4-s1307087154,p2,8a798890fe93817163b10b5f7bd2ca4d25d84c52739a645a889c173eee7d9d3d,200,0.264431,0.315526,1,ok
